Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
ivermectin,"Informational, Transactional",450000,94,0.50,"AI Overview, Image, Video carousel, Related searches"
ivermectin uses,Informational,60500,84,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
ivermectin dosage for humans,Informational,49500,71,0.69,"Sitelinks, AI Overview, Related searches"
ivermectin tablets,Informational,49500,60,0.62,"AI Overview, Image, People also ask, Discussions and forums, Related searches, See results about"
ivermectin for human,Informational,22200,79,0.00,"Sitelinks, AI Overview, Image, Video carousel, People also ask, Related searches"
ivermectin for cancer,Informational,12100,52,2.04,"Sitelinks, Video carousel, People also ask, Ads top, Ads bottom"
how long does it take for ivermectin to kill parasites,Informational,9900,55,1.01,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
how to take ivermectin,Informational,9900,54,0.06,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches"
ivermectin dosage chart for humans,"Informational, Commercial",9900,50,0.24,"Sitelinks, AI Overview, Video, Related searches"
ivermectin side effects,Informational,9900,68,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches"
